,Title,Artist,Weeks on chart,year,Spotify_Popularity,Artist_Popularity,track_id,track_title,track_artist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,time_signature,tempo,mode,genre
21646,Tipsy,J-Kwon,12.0,2004,63,57,2lVDc57IMK6nypg2iuEWVR,Tipsy - Radio Mix,J-Kwon,0.925,0.748,11.0,-5.572,0.278,0.0484,0.0,0.10099999999999999,0.615,243027.0,4.0,92.978,0.0,"['dirty south rap', 'pop rap', 'southern hip hop']"
21654,No Better Love,Young Gunz Featuring Rell,2.0,2004,-1,-1,0K7XjmTNFwQ2qwHn4MjlDx,No Better Love,Young Gunz,0.674,0.897,8.0,-3.053,0.259,0.18100000000000002,0.0,0.195,0.525,235907.0,4.0,91.194,1.0,"['dirty south rap', 'philly rap', 'southern hip hop']"
21669,I Can't Wait,Sleepy Brown Featuring OutKast,5.0,2004,-1,-1,23XFjkEHUpVh3fmcNJFkaR,I Can't Wait,Sleepy Brown,0.845,0.632,10.0,-7.683,0.282,0.239,0.0,0.327,0.5489999999999999,272547.0,4.0,102.967,0.0,"['atl hip hop', 'neo soul']"
21671,I Don't Wanna Know,Mario Winans Featuring Enya & P. Diddy,3.0,2004,-1,-1,2yr2HnFYl7XvqJk4fXoQBt,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,Mario Winans,0.833,0.515,11.0,-5.0,0.0462,0.34700000000000003,0.00156,0.11599999999999999,0.4,257333.0,4.0,97.035,0.0,"['r&b', 'urban contemporary']"
21674,Gal Yuh Ah Lead,T.O.K.,12.0,2004,12,46,4ex9m6RWw8PcfAZEaktdBL,Gal Yuh Ah Lead,T.O.K.,0.6829999999999999,0.7240000000000001,0.0,-4.8389999999999995,0.282,0.275,0.0,0.065,0.691,212800.0,4.0,98.711,0.0,['dancehall']
21677,Wild West Show,Big & Rich,14.0,2004,35,60,0Z9YP4ntjcqlMCfgi5Eete,Wild West Show,Big & Rich,0.551,0.879,0.0,-1.395,0.0378,0.0261,2.43e-06,0.132,0.293,260813.0,4.0,106.135,1.0,"['contemporary country', 'country', 'country road', 'modern country rock']"
21685,Game Over (Flip),Lil' Flip,2.0,2004,27,56,79lmvU7Qmc8QpXilbSk37z,Game Over,Lil' Flip,0.813,0.59,8.0,-8.998,0.37799999999999995,0.00106,5.07e-05,0.0809,0.602,232467.0,4.0,159.961,1.0,"['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'houston rap', 'pop rap', 'southern hip hop', 'trap music']"
21690,Maps,Yeah Yeah Yeahs,18.0,2004,62,66,0hDQV9X1Da5JrwhK8gu86p,Maps,Yeah Yeah Yeahs,0.502,0.94,7.0,-5.178,0.084,0.000413,0.542,0.5529999999999999,0.14400000000000002,219987.0,4.0,119.762,1.0,"['alternative dance', 'alternative rock', 'art pop', 'chamber pop', 'dance-punk', 'electropop', 'folk-pop', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'rock']"
21693,F.U.R.B. (F U Right Back),Frankee,17.0,2004,41,36,7jElrCgQJBcVLsbMRKni2t,F.U.R.B. (F U Right Back),Frankee,0.787,0.632,8.0,-3.487,0.13699999999999998,0.10300000000000001,6.78e-06,0.38799999999999996,0.612,198173.0,4.0,141.026,1.0,[]
21696,You Raise Me Up,Josh Groban,15.0,2004,57,71,4TbNLKRLKlxZDlS0pu7Lsy,You Raise Me Up,Josh Groban,0.25,0.136,10.0,-12.162,0.037000000000000005,0.6729999999999999,0.000157,0.107,0.0981,292333.0,4.0,118.086,1.0,"['adult standards', 'christmas', 'operatic pop']"
21697,Love Me Right (Oh Sheila),Angel City Featuring Lara McAllen,20.0,2004,-1,2,0kQTioPt53cX2uUk3POlxe,Love Me Right (Oh Sheila),Angel City,0.5579999999999999,0.8009999999999999,5.0,-7.691,0.0295,0.0071200000000000005,0.0107,0.131,0.85,195227.0,4.0,132.023,0.0,['judaica']
21698,Pull Up,Mr. Vegas,20.0,2004,12,59,5NhqD8ODDHOOOXrqlctPUL,Pull Up,Mr. Vegas,0.9620000000000001,0.632,11.0,-4.7,0.17600000000000002,0.11599999999999999,0.0,0.10800000000000001,0.892,213467.0,4.0,119.912,0.0,"['azonto', 'dancehall', 'panamanian pop', 'reggae fusion', 'roots reggae', 'soca']"
21702,8th World Wonder,Kimberley Locke,12.0,2004,29,27,7oGIRgJMViLFRzGHyhF9bI,8th World Wonder,Kimberley Locke,0.537,0.758,7.0,-4.065,0.0249,0.0103,0.0,0.131,0.295,240733.0,4.0,100.041,1.0,['idol']
